B2B Sales Region,Company Name,Fiscal Period,Created Date,Close Date,Age,Stage(SFDC),Probability (%),Forecast Category,Marketing Name,Product Description,Quantity,Total Price (Local),Total Price (converted USD),Product Number,Product Line,Life Cycle Status,Last Modified Date,Deal ID,Product Group Name,Company Segmentation,Company Designation,Account Category,Account Record Type,Account Type,FY,FQ
GCN,LocalBiz004 Solutions,2025-Q4,2023-09-18,2025-05-16,47,Commit,58,Commit,MX Master 3S,MX Master 3S - Business Edition,164,276154.7,276154.7,960-100005,Line-05,Active,2025-01-21,006945786677QAN,VC Services Group,SMB,Named,Territory,End Customer,Local Customer,2025,Q4
GCN,GlobalCorp003 Industries,2026-Q1,2023-05-08,2026-12-10,122,Closed Won,1,Closed,Rugged Combo 4,Rugged Combo 4 - Business Edition,102,142207.12,142207.12,960-100007,Line-07,Active,2025-10-08,006543894457QAN,Tablet Keyboards Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2026,Q1
EAD,LocalBiz021 Solutions,2026-Q3,2023-12-16,2026-11-22,397,Closed Won,1,Closed,Rally Bar,Rally Bar - Business Edition,161,203352.63,203352.63,960-100000,Line-00,EOM,2025-06-18,006815709298QAN,Video Collaboration Group,SMB,Named,Territory,End Customer,Local Customer,2026,Q3
NAM,LocalBiz040 Solutions,2024-Q4,2023-01-18,2024-02-27,224,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,119,150321.11,150321.11,960-100004,Line-04,Obsolete,2025-11-21,006662171966QAN,Pointing Devices Group,Enterprise,Named,Named,End Customer,Local Customer,2024,Q4
NAM,LocalBiz057 Solutions,2024-Q3,2023-12-17,2025-09-03,197,Commit,14,Commit,Rally Bar,Rally Bar - Business Edition,149,32229.85,32229.85,960-100000,Line-00,EOM,2025-07-05,006936512420QAN,Video Collaboration Group,Enterprise,,Territory,End Customer,Local Customer,2024,Q3
GCN,LocalBiz045 Solutions,2025-Q3,2023-02-08,2025-01-19,39,Closed Won,1,Closed,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,190,501742.68,501742.68,960-100003,Line-03,Active,2025-02-22,006195856757QAN,Tablet Keyboards Education Group,Enterprise,Named,Named,End Customer,Local Customer,2025,Q3
GEM,LocalBiz094 Solutions,2025-Q4,2023-05-21,2026-11-25,398,Need Assessment,75,Upside,Rally Bar,Rally Bar - Business Edition,112,164207.19,164207.19,960-100000,Line-00,Active,2025-06-02,006532020261QAN,Video Collaboration Group,SMB,Named,Territory,End Customer,Local Customer,2025,Q4
GEM,LocalBiz069 Solutions,2027-Q1,2023-12-23,2027-02-20,106,Closed Won,1,Closed,Combo Touch,Combo Touch - Business Edition,166,229110.85,229110.85,960-100008,Line-08,LTS,2025-05-04,006999137673QAN,Gaming PC Group,SMB,Territory,Territory,End Customer,Local Customer,2027,Q1
EAD,GlobalCorp017 Industries,2026-Q4,2023-11-11,2027-08-05,240,Pipeline,84,Upside,MeetUp,MeetUp - Business Edition,6,9019.34,9019.34,960-100001,Line-01,Active,2025-07-23,006464067663QAN,PC Keyboards & Combos Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2026,Q4
NAM,LocalBiz046 Solutions,2025-Q1,2023-12-10,2025-02-26,317,Commit,31,Pipeline,Tap Controller,Tap Controller - Business Edition,147,363719.51,363719.51,960-100002,Line-02,Active,2025-05-09,006555229963QAN,Webcams Group,SMB,Named,Territory,End Customer,Local Customer,2025,Q1
GEM,LocalBiz017 Solutions,2026-Q4,2023-01-26,2026-10-25,292,Pipeline,10,Pipeline,Combo Touch,Combo Touch - Business Edition,56,147115.19,147115.19,960-100008,Line-08,Active,2025-04-15,006257155630QAN,Gaming PC Group,SMB,Named,Named,End Customer,Local Customer,2026,Q4
GEM,LocalBiz027 Solutions,2026-Q4,2023-07-03,2027-08-02,111,Pipeline,32,Commit,Slim Folio Pro,Slim Folio Pro - Business Edition,14,6801.62,6801.62,960-100009,Line-09,Active,2025-12-13,006603434513QAN,Headsets Group,SMB,Territory,Territory,End Customer,Local Customer,2026,Q4
NAM,LocalBiz009 Solutions,2026-Q3,2023-12-25,2027-10-07,145,Pipeline,22,Pipeline,Combo Touch,Combo Touch - Business Edition,17,11454.12,11454.12,960-100008,Line-08,Active,2025-03-09,006473319790QAN,Gaming PC Group,Enterprise,,Territory,End Customer,Local Customer,2026,Q3
GCN,LocalBiz082 Solutions,2026-Q2,2023-10-02,2026-12-19,315,Closed Won,1,Closed,Slim Folio Pro,Slim Folio Pro - Business Edition,169,176684.12,176684.12,960-100009,Line-09,Obsolete,2025-05-25,006132359860QAN,Headsets Group,SMB,Territory,Territory,End Customer,Local Customer,2026,Q2
GEM,GlobalCorp021 Industries,2025-Q4,2023-03-08,2025-04-11,229,Closed Won,1,Closed,Rugged Combo 4,Rugged Combo 4 - Business Edition,55,139415.45,139415.45,960-100007,Line-07,Obsolete,2025-06-02,006426410707QAN,Tablet Keyboards Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2025,Q4
GEM,LocalBiz046 Solutions,2025-Q4,2023-11-08,2026-08-06,26,Need Assessment,60,Pipeline,Tap Controller,Tap Controller - Business Edition,62,173082.87,173082.87,960-100002,Line-02,Active,2025-06-26,006416449909QAN,Webcams Group,SMB,,Territory,End Customer,Local Customer,2025,Q4
NAM,GlobalCorp019 Industries,2025-Q2,2023-05-11,2025-01-12,356,Closed Won,1,Closed,Rally Bar,Rally Bar - Business Edition,90,208345.46,208345.46,960-100000,Line-00,Active,2025-03-01,006612091013QAN,Video Collaboration Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2025,Q2
GEM,LocalBiz091 Solutions,2026-Q1,2023-05-09,2026-02-13,273,Closed Won,1,Closed,Rugged Combo 4,Rugged Combo 4 - Business Edition,130,40197.42,40197.42,960-100007,Line-07,Active,2025-08-06,006795101430QAN,Tablet Keyboards Group,SMB,Named,Named,End Customer,Local Customer,2026,Q1
NAM,LocalBiz065 Solutions,2025-Q3,2023-12-03,2026-02-14,35,Commit,10,Commit,MX Keys for Business,MX Keys for Business - Business Edition,120,356789.03,356789.03,960-100004,Line-04,Active,2025-08-11,006294421608QAN,Pointing Devices Group,Enterprise,Named,Named,End Customer,Local Customer,2025,Q3
NAM,GlobalCorp014 Industries,2027-Q2,2023-04-25,2027-05-05,237,Closed Won,1,Closed,MX Keys for Business,MX Keys for Business - Business Edition,83,167023.54,167023.54,960-100004,Line-04,Active,2025-02-08,006967362631QAN,Pointing Devices Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2027,Q2
GCN,LocalBiz075 Solutions,2025-Q4,2023-08-19,2025-01-25,39,Closed Won,1,Closed,Rally Bar,Rally Bar - Business Edition,194,320775.3,320775.3,960-100000,Line-00,Active,2025-06-03,006648501894QAN,Video Collaboration Group,SMB,,Named,End Customer,Local Customer,2025,Q4
EAD,LocalBiz043 Solutions,2024-Q3,2023-05-27,2024-07-27,289,Closed Won,1,Closed,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,157,78098.22,78098.22,960-100003,Line-03,Active,2025-06-02,006153509641QAN,Tablet Keyboards Education Group,SMB,,Named,End Customer,Local Customer,2024,Q3
EAD,LocalBiz094 Solutions,2025-Q4,2023-08-05,2025-04-13,157,Commit,56,Pipeline,Rugged Combo 4,Rugged Combo 4 - Business Edition,180,219959.55,219959.55,960-100007,Line-07,Active,2025-03-19,006381356195QAN,Tablet Keyboards Group,SMB,Named,Territory,End Customer,Local Customer,2025,Q4
GCN,GlobalCorp026 Industries,2027-Q1,2023-07-15,2027-04-11,346,Closed Won,1,Closed,Slim Folio Pro,Slim Folio Pro - Business Edition,104,184184.6,184184.6,960-100009,Line-09,Phase out,2025-12-26,006470354316QAN,Headsets Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2027,Q1
EAD,LocalBiz033 Solutions,2024-Q3,2023-08-10,2024-12-11,92,Closed Won,1,Closed,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,68,161890.98,161890.98,960-100003,Line-03,Active,2025-09-22,006432091442QAN,Tablet Keyboards Education Group,SMB,Named,Named,End Customer,Local Customer,2024,Q3
GEM,LocalBiz049 Solutions,2025-Q4,2023-09-01,2025-05-21,319,Upside,63,Upside,Slim Folio Pro,Slim Folio Pro - Business Edition,110,65961.13,65961.13,960-100009,Line-09,Active,2025-05-15,006335199432QAN,Headsets Group,SMB,Named,Named,End Customer,Local Customer,2025,Q4
NAM,GlobalCorp009 Industries,2026-Q4,2023-11-06,2026-10-09,386,Commit,16,Commit,Tap Controller,Tap Controller - Business Edition,63,80185.68,80185.68,960-100002,Line-02,Active,2025-11-17,006473955199QAN,Webcams Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2026,Q4
EAD,LocalBiz030 Solutions,2025-Q1,2023-01-11,2025-09-07,150,Closed Won,1,Closed,BRIO 4K Webcam,BRIO 4K Webcam - Business Edition,198,29688.82,29688.82,960-100003,Line-03,Active,2025-02-21,006165170480QAN,Tablet Keyboards Education Group,SMB,,Named,End Customer,Local Customer,2025,Q1
EAD,LocalBiz052 Solutions,2024-Q3,2023-07-19,2024-06-08,379,Closed Won,1,Closed,Rally Bar,Rally Bar - Business Edition,71,128253.39,128253.39,960-100000,Line-00,Active,2025-01-13,006648578780QAN,Video Collaboration Group,SMB,Named,Territory,End Customer,Local Customer,2024,Q3
NAM,GlobalCorp016 Industries,2026-Q2,2023-12-17,2026-01-14,114,Closed Won,1,Closed,Tap Controller,Tap Controller - Business Edition,175,281148.14,281148.14,960-100002,Line-02,Active,2025-03-04,006881375360QAN,Webcams Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2026,Q2
EAD,GlobalCorp029 Industries,2026-Q1,2023-07-23,2027-10-10,288,Upside,59,Upside,Tap Controller,Tap Controller - Business Edition,110,176374.71,176374.71,960-100002,Line-02,Active,2025-01-25,006116701250QAN,Webcams Group,Global,Strategic,Territory,End Customer,Global Strategic Customer,2026,Q1
GCN,LocalBiz058 Solutions,2026-Q2,2023-02-03,2026-05-03,96,Closed Won,1,Closed,Tap Controller,Tap Controller - Business Edition,97,164155.88,164155.88,960-100002,Line-02,Obsolete,2025-08-14,006444541674QAN,Webcams Group,Enterprise,,Territory,End Customer,Local Customer,2026,Q2
EAD,LocalBiz039 Solutions,2025-Q4,2023-07-21,2025-07-16,147,Closed Won,1,Closed,MeetUp,MeetUp - Business Edition,7,13426.42,13426.42,960-100001,Line-01,Active,2025-03-04,006713860636QAN,PC Keyboards & Combos Group,SMB,Named,Territory,End Customer,Local Customer,2025,Q4
EAD,LocalBiz053 Solutions,2025-Q3,2023-05-06,2025-10-02,256,Closed Won,1,Closed,Tap Controller,Tap Controller - Business Edition,119,100053.74,100053.74,960-100002,Line-02,Active,2025-02-21,006290978987QAN,Webcams Group,SMB,Named,Named,End Customer,Local Customer,2025,Q3
NAM,LocalBiz087 Solutions,2027-Q2,2023-03-17,2027-10-24,14,Closed Won,1,Closed,Zone Wireless Plus,Zone Wireless Plus - Business Edition,128,75163.66,75163.66,960-100006,Line-06,Active,2025-02-13,006755197464QAN,VC Headsets Group,SMB,Territory,Named,End Customer,Local Customer,2027,Q2
NAM,LocalBiz044 Solutions,2027-Q1,2023-05-10,2027-10-26,356,Closed Won,1,Closed,MeetUp,MeetUp - Business Edition,37,3857.34,3857.34,960-100001,Line-01,Active,2025-02-17,006766785444QAN,PC Keyboards & Combos Group,SMB,Territory,Named,End Customer,Local Customer,2027,Q1
GCN,LocalBiz073 Solutions,2025-Q3,2023-02-12,2025-05-27,237,Closed Won,1,Closed,Combo Touch,Combo Touch - Business Edition,31,81467.25,81467.25,960-100008,Line-08,Active,2025-07-10,006806143916QAN,Gaming PC Group,SMB,,Named,End Customer,Local Customer,2025,Q3
GEM,GlobalCorp026 Industries,2025-Q3,2023-05-04,2025-10-14,371,Closed Won,1,Closed,MeetUp,MeetUp - Business Edition,54,120268.76,120268.76,960-100001,Line-01,Active,2025-05-11,006266188327QAN,PC Keyboards & Combos Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2025,Q3
NAM,LocalBiz099 Solutions,2027-Q1,2023-06-05,2027-03-22,312,Closed Won,1,Closed,MeetUp,MeetUp - Business Edition,55,110430.65,110430.65,960-100001,Line-01,Active,2025-04-15,006152673683QAN,PC Keyboards & Combos Group,SMB,Named,Named,End Customer,Local Customer,2027,Q1
EAD,LocalBiz070 Solutions,2024-Q3,2023-09-08,2024-11-02,17,Closed Won,1,Closed,Combo Touch,Combo Touch - Business Edition,154,223146.01,223146.01,960-100008,Line-08,Active,2025-11-08,006893827369QAN,Gaming PC Group,SMB,,Named,End Customer,Local Customer,2024,Q3
GCN,LocalBiz010 Solutions,2024-Q4,2023-11-27,2025-03-06,305,Pipeline,70,Pipeline,MeetUp,MeetUp - Business Edition,12,13378.48,13378.48,960-100001,Line-01,Phase out,2025-07-17,006895139886QAN,PC Keyboards & Combos Group,Enterprise,,Territory,End Customer,Local Customer,2024,Q4
NAM,LocalBiz033 Solutions,2026-Q2,2023-09-12,2026-07-05,143,Pipeline,68,Commit,MX Master 3S,MX Master 3S - Business Edition,198,582654.91,582654.91,960-100005,Line-05,Active,2025-10-15,006289689119QAN,VC Services Group,SMB,,Territory,End Customer,Local Customer,2026,Q2
EAD,GlobalCorp016 Industries,2026-Q1,2023-07-09,2027-05-22,371,Need Assessment,57,Commit,Slim Folio Pro,Slim Folio Pro - Business Edition,135,20268.99,20268.99,960-100009,Line-09,Active,2025-02-20,006506086566QAN,Headsets Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2026,Q1
GCN,GlobalCorp018 Industries,2027-Q1,2023-10-23,2027-08-03,364,Commit,48,Upside,MeetUp,MeetUp - Business Edition,131,275630.8,275630.8,960-100001,Line-01,Active,2025-04-22,006395289752QAN,PC Keyboards & Combos Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2027,Q1
GEM,LocalBiz053 Solutions,2026-Q4,2023-02-03,2027-07-03,379,Commit,48,Commit,Slim Folio Pro,Slim Folio Pro - Business Edition,34,3833.32,3833.32,960-100009,Line-09,Active,2025-01-21,006647631800QAN,Headsets Group,Enterprise,Named,Territory,End Customer,Local Customer,2026,Q4
GEM,LocalBiz027 Solutions,2026-Q3,2023-08-18,2026-07-20,324,Pipeline,27,Commit,MX Keys for Business,MX Keys for Business - Business Edition,65,49035.52,49035.52,960-100004,Line-04,Active,2025-01-21,006293705934QAN,Pointing Devices Group,SMB,,Named,End Customer,Local Customer,2026,Q3
GEM,GlobalCorp015 Industries,2024-Q3,2023-12-06,2024-04-12,295,Closed Won,1,Closed,Slim Folio Pro,Slim Folio Pro - Business Edition,37,87679.56,87679.56,960-100009,Line-09,LTS,2025-08-11,006760239421QAN,Headsets Group,Global,Strategic,Named,End Customer,Global Strategic Customer,2024,Q3
NAM,LocalBiz069 Solutions,2025-Q2,2023-10-11,2025-08-20,226,Closed Won,1,Closed,MX Master 3S,MX Master 3S - Business Edition,117,292546.27,292546.27,960-100005,Line-05,Active,2025-09-17,006990219001QAN,VC Services Group,Enterprise,,Named,End Customer,Local Customer,2025,Q2
EAD,LocalBiz091 Solutions,2025-Q3,2023-11-10,2025-01-09,178,Pipeline,71,Pipeline,Tap Controller,Tap Controller - Business Edition,20,59699.56,59699.56,960-100002,Line-02,Active,2025-03-06,006628012044QAN,Webcams Group,SMB,Named,Territory,End Customer,Local Customer,2025,Q3
GCN,LocalBiz096 Solutions,2026-Q3,2023-09-03,2026-02-11,226,Commit,85,Commit,Combo Touch,Combo Touch - Business Edition,184,153367.7,153367.7,960-100008,Line-08,Active,2025-08-25,006318430724QAN,Gaming PC Group,Enterprise,Named,Named,End Customer,Local Customer,2026,Q3
GCN,LocalBiz030 Solutions,2025-Q4,2023-12-05,2025-05-16,81,Closed Won,1,Closed,Slim Folio Pro,Slim Folio Pro - Business Edition,146,42206.61,42206.61,960-100009,Line-09,Active,2025-03-26,006406312514QAN,Headsets Group,SMB,,Territory,End Customer,Local Customer,2025,Q4
EAD,LocalBiz011 Solutions,2024-Q3,2023-05-10,2024-08-01,356,Commit,72,Upside,Combo Touch,Combo Touch - Business Edition,13,32749.46,32749.46,960-100008,Line-08,Active,2025-07-05,006662085610QAN,Gaming PC Group,SMB,,Named,End Customer,Local Customer,2024,Q3
NAM,LocalBiz029 Solutions,2026-Q1,2023-12-07,2026-11-21,224,Closed Won,1,Closed,Zone Wireless Plus,Zone Wireless Plus - Business Edition,159,8475.39,8475.39,960-100006,Line-06,Active,2025-11-17,006357029352QAN,VC Headsets Group,Enterprise,,Named,End Customer,Local Customer,2026,Q1
EAD,LocalBiz075 Solutions,2027-Q2,2023-02-15,2027-03-16,222,Closed Won,1,Closed,MX Master 3S,MX Master 3S - Business Edition,158,16489.16,16489.16,960-100005,Line-05,Active,2025-06-04,006846265491QAN,VC Services Group,Enterprise,Territory,Territory,End Customer,Local Customer,2027,Q2
